iter	Passed	Remaining
798	2624	660
799	2625	656
800	2627	652
801	2630	649
802	2631	645
803	2632	641
804	2633	637
805	2638	635
806	2639	631
807	2640	627
808	2640	623
809	2641	619
810	2641	615
811	2642	611
812	2644	608
813	2644	604
814	2645	600
815	2646	596
816	2647	592
817	2648	589
818	2649	585
819	2650	581
820	2651	578
821	2652	574
822	2653	570
823	2653	566
824	2654	563
825	2655	559
826	2656	555
827	2657	551
828	2657	548
829	2658	544
830	2659	540
831	2660	537
832	2660	533
833	2661	529
834	2662	526
835	2663	522
836	2665	519
837	2666	515
838	2669	512
839	2670	508
840	2671	505
841	2672	501
842	2672	497
843	2673	494
844	2674	490
845	2676	487
846	2677	483
847	2680	480
848	2681	476
849	2681	473
850	2683	469
851	2683	466
852	2684	462
853	2684	458
854	2685	455
855	2685	451
856	2686	448
857	2686	444
858	2687	441
859	2687	437
860	2688	433
861	2690	430
862	2691	427
863	2692	423
864	2693	420
865	2696	417
866	2696	413
867	2697	410
868	2698	406
869	2699	403
870	2699	399
871	2700	396
872	2700	392
873	2701	389
874	2701	385
875	2702	382
876	2702	379
877	2703	375
878	2704	372
879	2704	368
880	2705	365
881	2706	362
882	2707	358
883	2708	355
884	2709	352
885	2710	348
886	2710	345
887	2711	342
888	2712	338
889	2713	335
890	2714	332
891	2715	328
892	2716	325
893	2721	322
894	2727	319
895	2728	316
896	2729	313
897	2730	310
898	2731	306
899	2735	303
900	2736	300
901	2737	297
902	2738	294
903	2739	290
904	2740	287
905	2773	287
906	2773	284
907	2774	281
908	2776	277
909	2786	275
910	2787	272
911	2790	269
912	2796	266
913	2797	263
914	2797	259
915	2798	256
916	2799	253
917	2800	250
918	2801	246
919	2801	243
920	2802	240
921	2803	237
922	2804	233
923	2805	230
924	2808	227
925	2809	224
926	2812	221
927	2812	218
928	2813	215
929	2814	211
930	2818	208
931	2819	205
932	2821	202
933	2823	199
934	2824	196
935	2824	193
936	2825	189
937	2826	186
938	2826	183
939	2827	180
940	2828	177
941	2829	174
942	2829	171
943	2830	167
944	2833	164
945	2834	161
946	2835	158
947	2836	155
948	2837	152
949	2837	149
950	2838	146
951	2839	143
952	2840	140
953	2841	136
954	2841	133
955	2842	130
956	2843	127
957	2844	124
958	2845	121
959	2846	118
960	2846	115
961	2847	112
962	2848	109
963	2849	106
964	2850	103
965	2851	100
966	2852	97
967	2853	94
968	2853	91
969	2854	88
970	2854	85
971	2855	82
972	2855	79
973	2856	76
974	2858	73
975	2859	70
976	2860	67
977	2861	64
978	2862	61
979	2863	58
980	2864	55
981	2865	52
982	2865	49
983	2866	46
984	2866	43
985	2867	40
986	2867	37
987	2868	34
988	2868	31
989	2869	28
990	2870	26
991	2871	23
992	2871	20
993	2872	17
994	2872	14
995	2873	11
996	2873	8
997	2876	5
998	2877	2
999	2880	0
